product_id,product_name,raw_price,collection,product_url,price,product_type,product_line
P1,Austin Hot & Cold Water Bottle,From ₹ 905.00,Best Sellers,https://pexpo.in/products/austin,905.0,Bottle,Austin
P2,Crypto Art Hot & Cold Water Bottle,₹ 806.00,Best Sellers,https://pexpo.in/products/crypto-art-vacuum-flask,806.0,Bottle,Crypto
P3,Pexpo Amaze Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Travel,"From ₹ 1,019.00",Best Sellers,https://pexpo.in/products/amaze-vacuum-bottle,1019.0,Bottle,Pexpo
P4,Craft SS Water Bottle with Sipper Cap,₹ 403.00,Best Sellers,https://pexpo.in/products/craft-ss-water-bottle-with-sipper-cap,403.0,Bottle,Craft
P5,Piano Art Hot & Cold Water Bottle,₹ 755.00,Best Sellers,https://pexpo.in/products/piano-artful-vacuum-flask,755.0,Bottle,Piano
P6,Cardio Hot & Cold Water Bottle,From ₹ 866.00,Best Sellers,https://pexpo.in/products/cardio,866.0,Bottle,Cardio
P7,Oscar Hot & Cold Water Bottle,From ₹ 811.00,Best Sellers,https://pexpo.in/products/oscar-hot-cold-water-bottle,811.0,Bottle,Oscar
P8,Pexpo Morocco Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Travel,₹ 925.00,Best Sellers,https://pexpo.in/products/morocco,925.0,Bottle,Pexpo
P9,Pexpo Oslo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Daily Use - Black Flower Print,₹ 973.00,Best Sellers,https://pexpo.in/products/oslo-black-floral,973.0,Bottle,Pexpo
P10,Pexpo Bravo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask - Plant-themed Art,"₹ 1,019.00",Best Sellers,https://pexpo.in/products/bravo-plant-themed-art-hot-cold-water-bottle,1019.0,Bottle,Pexpo
P11,Pexpo Oslo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Daily Use - Grey Wave Print,₹ 973.00,Best Sellers,https://pexpo.in/products/pexpo-oslo-art-wave-print-hot-cold-water-bottle,973.0,Bottle,Pexpo
P12,Pexpo Bravo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask - Pastel Edition,From ₹ 849.00,Best Sellers,https://pexpo.in/products/bravo-vacuum-flask-pastel-color-edition,849.0,Bottle,Pexpo
P13,Pexpo Bravo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask,From ₹ 747.00,Best Sellers,https://pexpo.in/products/bravo-vacuum-insulated-stainless-steel-bottle-with-3x-powder-coating,747.0,Bottle,Pexpo
P14,Pexpo Oslo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Daily Use - Pink Flamingo Print,₹ 973.00,Best Sellers,https://pexpo.in/products/oslo-pink-flamingo,973.0,Bottle,Pexpo
P15,Echo Hot & Cold Water Bottle,"From ₹ 1,572.00",Best Sellers,https://pexpo.in/products/echo-insulated-stainless-steel-bottle-with-loop-handle,1572.0,Bottle,Echo
P16,Echo Dlx Hot & Cold Water Bottle,From ₹ 726.00,Best Sellers,https://pexpo.in/products/echo-dlx,726.0,Bottle,Echo
P17,Pexpo Pixy Art Stainless Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Kids,From ₹ 849.00,Kids,https://pexpo.in/products/pixy-art-hot-cold-water-bottle,849.0,Bottle,Pexpo
P18,Cameo Plant-themed Art Hot & Cold Water Bottle,₹ 764.00,Kids,https://pexpo.in/products/cameo-plant-themed-art-hot-cold-water-bottle,764.0,Bottle,Cameo
P19,Pexpo Texas Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For School - Sea Green Doll Print,₹ 891.00,Kids,https://pexpo.in/products/texas-moana-doll-print-hot-cold-water-bottle,891.0,Bottle,Pexpo
P20,Poggo Art Hot & Cold Water Bottle,₹ 820.00,Kids,https://pexpo.in/products/poggo-art-hot-cold-water-bottle,820.0,Bottle,Poggo
P21,Sporty SS Kids Water Bottle,₹ 466.00,Kids,https://pexpo.in/products/sporty-ss-kids-water-bottle,466.0,Bottle,Sporty
P22,Pexpo Pico Art Stainless Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Kids,₹ 871.00,Kids,https://pexpo.in/products/pico,871.0,Bottle,Pexpo
P23,Pexpo Texas Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For School - Pink Doll Print,₹ 891.00,Kids,https://pexpo.in/products/texas-art-hot-cold-water-bottle,891.0,Bottle,Pexpo
P24,Piano Art Hot & Cold Water Bottle,₹ 755.00,Kids,https://pexpo.in/products/piano-artful-vacuum-flask,755.0,Bottle,Piano
P25,Pexpo Texas Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For School - Pink Flower Print,₹ 891.00,Kids,https://pexpo.in/products/texas-moana-doll-print-hot-cold-water-bottle-copy,891.0,Bottle,Pexpo
P26,Star Kid Warm & Cold Water Bottle,₹ 373.00,Kids,https://pexpo.in/products/star-kid-pu-insulated-water-bottle,373.0,Bottle,Star
P27,Cameo Hot & Cold Water Bottle,From ₹ 551.00,Kids,https://pexpo.in/products/cameo,551.0,Bottle,Cameo
P28,Alaska Warm & Cold Water Bottle,₹ 471.00,Kids,https://pexpo.in/products/alaska-warm-cold-water-bottle,471.0,Bottle,Alaska
P29,Thermo Joy – Stainless Steel Feeding Baby Bottle,"₹ 1,019.00",Kids,https://pexpo.in/products/pexpo-thermo-joy-stainless-steel-feeding-baby-bottle,1019.0,Bottle,Thermo
P30,Pexpo Pixy Art Stainless Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Kids,₹ 849.00,Kids,https://pexpo.in/products/pixy-art-hot-cold-water-bottle-1,849.0,Bottle,Pexpo
P31,Pexpo Bravo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask - Plant-themed Art,"₹ 1,019.00",Art,https://pexpo.in/products/bravo-plant-themed-art-hot-cold-water-bottle,1019.0,Bottle,Pexpo
P32,Pexpo Pico Art Stainless Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Kids,₹ 871.00,Art,https://pexpo.in/products/pico,871.0,Bottle,Pexpo
P33,Pexpo Texas Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For School - Pink Flower Print,₹ 891.00,Art,https://pexpo.in/products/texas-moana-doll-print-hot-cold-water-bottle-copy,891.0,Bottle,Pexpo
P34,Pexpo Oslo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Daily Use - Black Flower Print,₹ 973.00,Art,https://pexpo.in/products/oslo-black-floral,973.0,Bottle,Pexpo
P35,Pexpo Pixy Art Stainless Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Kids,From ₹ 849.00,Art,https://pexpo.in/products/pixy-art-hot-cold-water-bottle,849.0,Bottle,Pexpo
P36,Pexpo Texas Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For School - Sea Green Doll Print,₹ 891.00,Art,https://pexpo.in/products/texas-moana-doll-print-hot-cold-water-bottle,891.0,Bottle,Pexpo
P37,Pexpo Austin Art Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Office,"₹ 1,075.00",Art,https://pexpo.in/products/austin-art-hot-cold-water-bottle,1075.0,Bottle,Pexpo
P38,Piano Art Hot & Cold Water Bottle,₹ 755.00,Art,https://pexpo.in/products/piano-artful-vacuum-flask,755.0,Bottle,Piano
P39,Pexpo Oslo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Daily Use - Grey Wave Print,₹ 973.00,Art,https://pexpo.in/products/pexpo-oslo-art-wave-print-hot-cold-water-bottle,973.0,Bottle,Pexpo
P40,Pexpo Texas Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For School - Pink Doll Print,₹ 891.00,Art,https://pexpo.in/products/texas-art-hot-cold-water-bottle,891.0,Bottle,Pexpo
P41,Poggo Art Hot & Cold Water Bottle,₹ 820.00,Art,https://pexpo.in/products/poggo-art-hot-cold-water-bottle,820.0,Bottle,Poggo
P42,Pexpo Oslo Thermo Steel Bottle | Tri-Ply Vacuum Insulated Hot & Cold Flask | For Daily Use - Pink Flamingo Print,₹ 973.00,Art,https://pexpo.in/products/oslo-pink-flamingo,973.0,Bottle,Pexpo
P43,Crypto Art Hot & Cold Water Bottle,₹ 806.00,Art,https://pexpo.in/products/crypto-art-vacuum-flask,806.0,Bottle,Crypto
P44,Cameo Plant-themed Art Hot & Cold Water Bottle,₹ 764.00,Art,https://pexpo.in/products/cameo-plant-themed-art-hot-cold-water-bottle,764.0,Bottle,Cameo
P45,Sporty SS Kids Water Bottle,₹ 466.00,Art,https://pexpo.in/products/sporty-ss-kids-water-bottle,466.0,Bottle,Sporty
P46,Cameo Camouflage Art Hot & Cold Water Bottle,₹ 849.00,Art,https://pexpo.in/products/pexpo-cameo-stainless-steel-24-hrs-hot-cold-vacuum-insulated-with-dinosaur-design-cool-colors-1,849.0,Bottle,Cameo
P47,Alaska Sipper Cap,₹ 176.00,Accessories,https://pexpo.in/products/alaska-sipper-cap,176.0,Accessories,Alaska
P48,Altros Sipper Cap,₹ 235.00,Accessories,https://pexpo.in/products/altros-sipper-cap,235.0,Accessories,Altros
P49,Amaze Push Button Sipper cap,₹ 229.00,Accessories,https://pexpo.in/products/pexpo-amaze-leakproof-sipper-cap,229.0,Accessories,Amaze
P50,Amora Push Button Sipper Cap,₹ 176.00,Accessories,https://pexpo.in/products/amora-push-button-sipper-cap,176.0,Accessories,Amora
P51,Aqua Sip Sipper Cap,₹ 176.00,Accessories,https://pexpo.in/products/aqua-sip-leakproof-cap,176.0,Accessories,Aqua
P52,Arctic Push Button Sipper cap,₹ 229.00,Accessories,https://pexpo.in/products/pexpo-arctic-sipper-cap,229.0,Accessories,Arctic
P53,Atlas Push Button Sipper cap,₹ 212.00,Accessories,https://pexpo.in/products/pexpo-atlas-push-button-sipper-cap,212.0,Accessories,Atlas
P54,Austin Sipper Cap,₹ 235.00,Accessories,https://pexpo.in/products/austin-leakproof-cap,235.0,Accessories,Austin
P55,Belly Sipper Cap,₹ 129.00,Accessories,https://pexpo.in/products/belly-pop-up-sipper-cap,129.0,Accessories,Belly
P56,Bosco Steel Cap,₹ 165.00,Accessories,https://pexpo.in/products/bravo-steel-cap,165.0,Accessories,Bosco
P57,Bravo Art Steel Cap,₹ 165.00,Accessories,https://pexpo.in/products/pexpo-bravo-art-leak-proof-cap,165.0,Accessories,Bravo
P58,Bravo Steel Cap,₹ 165.00,Accessories,https://pexpo.in/products/pexpo-bravo-leak-proof-cap,165.0,Accessories,Bravo
P59,Cameo Steel Cap,₹ 129.00,Accessories,https://pexpo.in/products/pexpo-cameo-leak-proof-cap,129.0,Accessories,Cameo
P60,Cardio Double lock Sipper Cap,₹ 276.00,Accessories,https://pexpo.in/products/pexpo-cardio-double-lock-sipper-cap,276.0,Accessories,Cardio
P61,Chapati Box Oval-Shaped Steel Container,₹ 223.00,Accessories,https://pexpo.in/products/chapati-box-oval-shaped-steel-container,223.0,Accessories,Chapati
P62,Chico Sipper Cap,₹ 129.00,Accessories,https://pexpo.in/products/chico-pop-up-sipper-cap,129.0,Accessories,Chico
